DIMENSION_MACRO,IES ANONIMIZADA,RESULTADO
Transparencia,UNIVERSIDAD 1,64.94
Transparencia,UNIVERSIDAD 2,59.05
Transparencia,UNIVERSIDAD 3,65.84
Transparencia,UNIVERSIDAD 4,61.4
Transparencia,UNIVERSIDAD 5,63.07
Transparencia,UNIVERSIDAD 6,36.28
Transparencia,UNIVERSIDAD 7,71.41
Participación,UNIVERSIDAD 1,73.85
Participación,UNIVERSIDAD 2,46.82
Participación,UNIVERSIDAD 3,31.37
Participación,UNIVERSIDAD 4,58.63
Participación,UNIVERSIDAD 5,58.34
Participación,UNIVERSIDAD 6,45.61
Participación,UNIVERSIDAD 7,66.73
Información Académica,UNIVERSIDAD 1,44.01
Información Académica,UNIVERSIDAD 2,34.46
Información Académica,UNIVERSIDAD 3,63.05
Información Académica,UNIVERSIDAD 4,55.27
Información Académica,UNIVERSIDAD 5,46.85
Información Académica,UNIVERSIDAD 6,58.55
Información Académica,UNIVERSIDAD 7,57.55
Comunicación,UNIVERSIDAD 1,71.59
Comunicación,UNIVERSIDAD 2,70.45
Comunicación,UNIVERSIDAD 3,60.23
Comunicación,UNIVERSIDAD 4,52.28
Comunicación,UNIVERSIDAD 5,56.82
Comunicación,UNIVERSIDAD 6,61.37
Comunicación,UNIVERSIDAD 7,72.73
Transf. Digital,UNIVERSIDAD 1,70.59
Transf. Digital,UNIVERSIDAD 2,72.06
Transf. Digital,UNIVERSIDAD 3,66.18
Transf. Digital,UNIVERSIDAD 4,66.18
Transf. Digital,UNIVERSIDAD 5,58.83
Transf. Digital,UNIVERSIDAD 6,69.12
Transf. Digital,UNIVERSIDAD 7,48.53
Investigación,UNIVERSIDAD 1,79.35
Investigación,UNIVERSIDAD 2,72.83
Investigación,UNIVERSIDAD 3,70.65
Investigación,UNIVERSIDAD 4,80.44
Investigación,UNIVERSIDAD 5,81.53
Investigación,UNIVERSIDAD 6,72.83
Investigación,UNIVERSIDAD 7,61.96
